Color,Name,Kms_Driven,Owner,Fuel,RTO,Tranmission,Price,Body_type,Variant,Airbags,Alloy_wheels,Cruise_control,Infotainment_system,Parking_sensors,Push_button_start,Steering_mounted_controls,Sunroof_moonroof
silver,2016 Mahindra XUV500,"69,806 KM",2ND,DIESEL,KA-01,Manual,"₹9,18,000",luxury%20suv,W6Manual,1.0,,1.0,,1.0,,1.0,
silver,2017 Mahindra XUV500,"63,295 KM",2ND,DIESEL,TN-12,Automatic,"₹11,55,000",luxury%20suv,W10 ATAutomatic,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
silver,2017 Jeep Compass,"1,11,538 KM",1ST,DIESEL,KA-03,Manual,"₹9,82,000",luxury%20suv,SPORT 2.0 DIESELManual,,,,,,,,
silver,2013 Mahindra XUV500,"87,355 KM",1ST,DIESEL,KA-52,Manual,"₹7,41,000",luxury%20suv,W8Manual,,1.0,1.0,,1.0,,1.0,
silver,2014 Mahindra XUV500,"1,34,062 KM",1ST,DIESEL,KA-04,Manual,"₹7,74,000",luxury%20suv,W6Manual,,,1.0,,1.0,,1.0,
silver,2017 Mahindra XUV500,"57,570 KM",2ND,DIESEL,MH-04,Manual,"₹6,94,000",luxury%20suv,W4Manual,1.0,,,,,,,
silver,2018 Jeep Compass,"73,762 KM",1ST,PETROL,GJ-06,Automatic,"₹12,87,000",luxury%20suv,LIMITED PLUS PETROL ATAutomatic,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
silver,2017 Jeep Compass,"35,284 KM",2ND,DIESEL,MP-09,Manual,"₹10,62,000",luxury%20suv,LONGITUDE (O) 2.0 DIESELManual,,,,,,,,
silver,2016 Mahindra XUV500,"92,256 KM",1ST,DIESEL,MH-03,Automatic,"₹9,34,000",luxury%20suv,W10 ATAutomatic,1.0,1.0,1.0,,1.0,,1.0,1.0
silver,2014 Mahindra XUV500,"1,24,701 KM",2ND,DIESEL,KA-51,Manual,"₹7,86,000",luxury%20suv,W8Manual,,1.0,1.0,,1.0,,1.0,
silver,2018 Mahindra XUV500,"56,365 KM",1ST,DIESEL,MH-05,Automatic,"₹12,64,000",luxury%20suv,W9 ATAutomatic,,,,,,,,
silver,2018 Mahindra XUV500,"57,781 KM",2ND,DIESEL,KA-03,Automatic,"₹14,73,000",luxury%20suv,W11 ATAutomatic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
silver,2020 Jeep Compass,"29,181 KM",3RD,DIESEL,MH-08,Manual,"₹16,38,000",luxury%20suv,LIMITED PLUS DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
silver,2020 Mahindra XUV500,"81,152 KM",2ND,DIESEL,TN-19,Automatic,"₹16,65,000",luxury%20suv,W11 (O) ATAutomatic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
silver,2015 Mahindra XUV500,"1,13,069 KM",2ND,DIESEL,KA-51,Manual,"₹8,11,000",luxury%20suv,W8Manual,,,,,,,,
silver,2020 Jeep Compass,"33,205 KM",1ST,PETROL,TN-09,Automatic,"₹17,33,000",luxury%20suv,LIMITED PLUS PETROL ATAutomatic,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
silver,2014 Mahindra XUV500,"94,710 KM",2ND,DIESEL,KA-05,Manual,"₹8,11,000",luxury%20suv,W6Manual,,,1.0,,1.0,,1.0,
silver,2019 Jeep Compass,"82,520 KM",1ST,DIESEL,HR-20,Manual,"₹12,07,000",luxury%20suv,LIMITED PLUS DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
silver,2018 Jeep Compass,"34,469 KM",2ND,DIESEL,MH-02,Manual,"₹12,09,000",luxury%20suv,LONGITUDE (O) 2.0 DIESELManual,1.0,1.0,,,1.0,1.0,1.0,
silver,2019 Jeep Compass,"87,927 KM",1ST,DIESEL,DL-10,Manual,"₹12,59,000",luxury%20suv,LONGITUDE (O) 2.0 DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,
silver,2016 Mahindra XUV500,"74,829 KM",2ND,DIESEL,KA-09,Manual,"₹11,73,000",luxury%20suv,W10Manual,1.0,1.0,1.0,,1.0,,1.0,1.0
silver,2014 Mahindra XUV500,"97,791 KM",2ND,DIESEL,KA-04,Manual,"₹8,27,000",luxury%20suv,W6Manual,,,1.0,,1.0,,1.0,
silver,2018 Mahindra XUV500,"1,03,546 KM",2ND,DIESEL,KA-01,Manual,"₹12,31,000",luxury%20suv,W7Manual,,,,,,,,
silver,2017 Mahindra XUV500,"69,651 KM",2ND,DIESEL,KA-03,Manual,"₹10,98,000",luxury%20suv,W6Manual,1.0,,1.0,,1.0,,1.0,
silver,2021 Jeep Compass,"14,120 KM",1ST,PETROL,TN-14,Manual,"₹17,48,000",luxury%20suv,SPORT 1.4 PETROLManual,1.0,1.0,,1.0,1.0,,1.0,
silver,2019 Jeep Compass,"93,467 KM",1ST,DIESEL,HR-50,Manual,"₹11,06,000",luxury%20suv,SPORT 2.0 DIESELManual,1.0,,,1.0,,,1.0,
silver,2018 Jeep Compass,"1,22,168 KM",2ND,DIESEL,TS-13,Manual,"₹13,02,000",luxury%20suv,LIMITED 2.0 DIESELManual,1.0,1.0,,,1.0,1.0,1.0,
silver,2017 Mahindra XUV500,"44,953 KM",1ST,DIESEL,KA-03,Manual,"₹12,22,000",luxury%20suv,W6Manual,1.0,,1.0,,1.0,,1.0,
silver,2019 Jeep Compass,"51,693 KM",1ST,PETROL,MH-03,Automatic,"₹14,32,000",luxury%20suv,LIMITED 1.4 PETROL ATAutomatic,1.0,1.0,,1.0,1.0,1.0,1.0,
silver,2018 Mahindra XUV500,"1,12,969 KM",1ST,DIESEL,HR-51,Manual,"₹8,64,000",luxury%20suv,W7Manual,1.0,,1.0,1.0,1.0,1.0,1.0,
silver,2016 Mahindra XUV500,"97,690 KM",2ND,DIESEL,KA-05,Manual,"₹12,21,000",luxury%20suv,W10Manual,1.0,1.0,1.0,,1.0,,1.0,1.0
silver,2017 Mahindra XUV500,"83,180 KM",1ST,DIESEL,GJ-06,Manual,"₹8,41,000",luxury%20suv,W10Manual,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
